dpq1,dpq2,constituency_vote_midterm,likelihood,times5,times8_1,times8_2,times8_3,times8_4,times8_5,times8_6,times8_7,times8_8,times8_9,times8_10,times8_11,times8_12,times8_13,times8_14,times8_15,times8_16,dpg1,dpq16,dpq17,dpq18,dpq19,dpq20,dpq21,dpq50,dpq51,dpq52,dpq53,timesextra1,timesbregret,timese1,timese1a,timese1b,timese1c,timese1d,timese1e,timese1f,timese1g,timese2,timese2a,timese2b,timese2c,timese2d,timese2e,timese2f,timese3,voted2017,pastvote_2017,profile_GOR,voted_ge_2019,pastvote_ge_2019,pastvote_EURef,political_attention_2017,politics_scale_profile_update,newgor,govreg,new_socgrade,socgrade4,ONS_urban,profile_religion,polAttentionpdl,ethnicity_new,parent_1,parent_2,parent_97,parent_98,sexuality,partyid_2017,age,profile_education_level,profile_ethnicity,profile_gender,tprofile_GOR,profile_govregnew,profile_gross_household,profile_gross_personal,profile_household_children,profile_household_size,profile_housing_stat,profile_marital_stat,profile_partyid,profile_partyid_recode,profile_region,profile_religion_stat,profile_socgradenew,profile_socialgrade_cie,profile_socialgrade_old,profile_work_industry,profile_work_organisation,profile_work_responsibility,profile_work_stat,profile_work_type,social_media_omnibus_1,social_media_omnibus_2,social_media_omnibus_3,social_media_omnibus_4,social_media_omnibus_5,social_media_omnibus_6,profile_house_tenure,pastvote_2015_by_region,political_attention,pastvote_2015_recode,profile_education_level_recode,ONS_urban_UK,profile_pcon_2010_new,profile_oslaua,pcon_future_OA21,Vote2019R,Vote2019_combo,InEngland,InEnglandWales,gor,england_regions,countries_gb,Vote2017R,highest_education_gce,highest_education_simple,threeway_attention,Currvote,headvote,othvote,bpcas3,wellsage,respdate,ns,total,bpcagegeneduc_w8,threeway_attention_w8,socgrade4_w8,pvbyregion_w8,EURef_w8,ethnicity_R,W8,W8_GB_NewTurnout
2,9,2,11,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,2,1,1,1,1,1,3,3,1,1,2,3,2,4,4,3,4,2, ,9,1,1,3,9,6,5,2,2,3,3,2,1,1,1,2,2,2,1,2,24,18,1,1,9,5,5,5,3,4,8,1,8,8,8,8,3,4,2,98,8,998,1,8,2,2,2,2,2,2,4,6,1,99,2,3,136,107,155,1,1,1,1,4,4,1,7,8,2,1,2,2,5,1,1,4/10/2024,1,1,9,1,3,19,3,1,4.801293893,4.801293893
10,9,10,11,3,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,6,7,7,6,7,6,6,7,7,6,5,1,1,4,4,4,4,4,4,4,1,2,3,3,3,3,3,5,1,98,3,1,6,2,8,8,1,4,2,4,2,1,3,4,2,2,1,2,1,97,69,4,1,2,3,1,10,4,1,2,2,2,6,6,4,1,5,6,1,3,1,99,5,2,1,2,2,2,2,2,1,22,3,6,1,2,195,84,188,4,6,1,1,1,1,1,6,2,1,1,9, , ,8,4,4/11/2024,1,1,10,1,4,4,2,1,4.238082245,4.238082245
1,9,1,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,3,1,7,7,7,6,7,7,7,7,3,2,1,3,2,2,3,2,2,1,1,3,2,2,3,3,3,4,998,998,5,2, ,3,1,4,2,3,2,3,1,98,3,1,2,2,2,2,8,998,18,11,98,1,5,2,98,98,98,98,8,8,8,8,8,8,3,4,2,98,8,998,4,8,2,2,2,2,2,2,98,98,3,998,2,1,363,377,379,7,9,1,1,2,2,1,0,4,2,1,1,1,5,1,1,4/11/2024,1,1,9,1,3,12,3,1,3.706907464,1.40862483632
98,9,98,2,8,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,7,7,2,3,2,1,2,4,1,1,1,2,1,1,2,4,4,3,3,3,2,2, ,9,99, ,3,3,98,5,2,2,3,1,12,1,10,2,2,1,2,1,998,22,9,98,1,9,5,17,16,9,10,1,8,8,8,8,8,3,4,2,16,4,998,8,7,2,2,2,2,2,2,8,98,1,998,1,1,73,97,70,7,9,1,1,4,4,1,7,3,1,1, , , ,1,1,4/10/2024,1,1,9,1,3,24,3,2,3.638182902,0.80040023844
9,9,9,1,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,7,7,7,7,7,7,7,7,7,7,3,2,1,2,1,1,1,1,1,1,1,3,4,4,4,3,2,4,2, ,9,2, ,3,2,8,5,2,1,1,1,1,3,1,2,2,1,2,1,998,31,9,98,1,9,5,6,4,1,2,8,6,8,8,8,8,1,2,1,98,2,998,1,3,2,2,2,2,2,2,7,98,3,998,1,1,71,97,72,7,9,1,1,4,4,1,7,3,1,1,9, , ,2,2,4/10/2024,1,1,7,1,1,24,3,1,3.542319138,0.5313478707
2,9,2,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,4,3,1,3,1,3,1,1,1,1,1,4,4,4,4,4,4,4,99, ,2,99, ,3,6,8,1,4,2,4,1,1,3,1,1,2,2,2,1,2,37,9,1,1,2,1,4,3,3,5,4,2,6,6,8,2,4,5,2,20,4,998,2,7,1,2,2,2,2,2,4,24,3,99,1,1,458,77,477,7,9,1,1,1,1,1,7,3,1,1,2,2,5,2,2,4/11/2024,1,1,7,1,4,6,3,1,3.468490835,2.94821720975
3,9,3,8,3,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,3,1,3,1,2,3,1,5,2,1,2,3,2,3,1,4,1,1,2,3,2,1,5,2,2,1,3,9,1,3,3,8,4,5,2,2,3,1,1,8,1,1,2,2,2,1,3,37,5,1,1,9,5,11,8,2,3,8,1,8,8,8,2,3,4,2,4,2,998,1,6,2,2,2,2,2,2,2,98,8,998,1,1,531,455,541,3,3,1,1,4,4,1,3,3,1,2,3,3,5,2,2,4/10/2024,1,1,7,2,3,21,3,1,3.097989815,2.63329134275
9,9,9,3,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,6,6,6,7,6,1,6,6,6,6,3,2,1,4,4,2,2,2,2,2,1,3,3,4,2,3,2,3,2, ,1,2, ,3,2,8,1,4,2,4,2,1,1,1,2,2,1,2,1,99,22,8,98,1,1,1,17,7,2,5,8,6,8,8,8,8,4,5,1,20,2,998,1,2,2,2,2,2,2,2,7,98,1,998,1,2,477,55,121,7,9,1,1,1,1,1,7,2,1,1,9, , ,1,1,4/10/2024,1,1,9,1,4,6,3,1,3.039130493,0.88134784297
9,9,9,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6,6,6,6,6,6,6,6,6,6,5,2,1,2,2,2,2,2,2,2,1,4,4,4,4,4,4,5,1,2,7,1,2,1,1,3,4,1,1,2,1,12,2,7,2,1,2,2,1,2,54,16,5,2,7,4,8,3,1,4,8,3,8,8,8,1,2,3,2,98,6,998,7,9,1,2,2,2,2,2,6,12,2,99,3,1,507,33,373,2,2,1,1,3,3,1,2,6,3,1,9, , ,7,3,4/10/2024,1,1,11,1,2,14,1,4,2.821739369,1.4108696845
2,9,2,8,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,7,7,7,7,7,7,7,7,7,7,3,2,1,4,4,4,1,1,1,1,1,4,4,4,5,4,4,4,2, ,6,1,2,3,2,8,3,2,1,2,1,1,3,1,2,2,1,2,1,998,23,19,98,2,6,3,13,7,1,2,8,6,8,8,8,8,2,3,2,98,8,998,1,4,2,2,2,2,2,2,2,98,3,998,2,1,210,252,216,2,2,1,1,4,4,1,7,7,2,1,2,2,5,5,1,4/11/2024,1,1,18,1,2,20,3,1,2.677381862,2.2757745827
