dpq1,dpq2,constituency_vote_midterm,likelihood,times5,times8_1,times8_2,times8_3,times8_4,times8_5,times8_6,times8_7,times8_8,times8_9,times8_10,times8_11,times8_12,times8_13,times8_14,times8_15,times8_16,dpg1,dpq16,dpq17,dpq18,dpq19,dpq20,dpq21,dpq50,dpq51,dpq52,dpq53,timesextra1,timesbregret,timese1,timese1a,timese1b,timese1c,timese1d,timese1e,timese1f,timese1g,timese2,timese2a,timese2b,timese2c,timese2d,timese2e,timese2f,timese3,voted2017,pastvote_2017,profile_GOR,voted_ge_2019,pastvote_ge_2019,pastvote_EURef,political_attention_2017,politics_scale_profile_update,newgor,govreg,new_socgrade,socgrade4,ONS_urban,profile_religion,polAttentionpdl,ethnicity_new,parent_1,parent_2,parent_97,parent_98,sexuality,partyid_2017,age,profile_education_level,profile_ethnicity,profile_gender,tprofile_GOR,profile_govregnew,profile_gross_household,profile_gross_personal,profile_household_children,profile_household_size,profile_housing_stat,profile_marital_stat,profile_partyid,profile_partyid_recode,profile_region,profile_religion_stat,profile_socgradenew,profile_socialgrade_cie,profile_socialgrade_old,profile_work_industry,profile_work_organisation,profile_work_responsibility,profile_work_stat,profile_work_type,social_media_omnibus_1,social_media_omnibus_2,social_media_omnibus_3,social_media_omnibus_4,social_media_omnibus_5,social_media_omnibus_6,profile_house_tenure,pastvote_2015_by_region,political_attention,pastvote_2015_recode,profile_education_level_recode,ONS_urban_UK,profile_pcon_2010_new,profile_oslaua,pcon_future_OA21,Vote2019R,Vote2019_combo,InEngland,InEnglandWales,gor,england_regions,countries_gb,Vote2017R,highest_education_gce,highest_education_simple,threeway_attention,Currvote,headvote,othvote,bpcas3,wellsage,respdate,ns,total,bpcagegeneduc_w8,threeway_attention_w8,socgrade4_w8,pvbyregion_w8,EURef_w8,ethnicity_R,W8,W8_GB_NewTurnout
2,9,2,11,3,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,7,1,3,1,1,2,1,1,1,1,3,1,1,3,4,2,3,3,4,4,1,1,2,1,1,2,8,5,1,4,1,2,1,1,7,1,2,2,1,2,1,97,41,11,1,1,2,1,9,6,1,2,8,6,8,8,4,8,2,3,2,5,2,998,1,5,1,2,2,2,2,2,2,98,7,998,2,1,429,47,442,1,1,1,1,1,1,1,1,4,2,2,2,2,5,2,2,4/10/2024,1,1,6,2,2,1,2,1,0.831345351,0.831345351
7,9,7,9,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,4,2,1,1,2,1,1,1,1,1,1,3,4,4,4,3,5,5,2, ,11,2, ,1,4,3,7,5,1,1,98,1,6,1,2,2,1,2,1,7,36,17,98,1,11,7,14,12,1,2,8,1,8,8,8,8,1,2,1,98,2,998,1,1,2,2,2,2,2,2,2,98,6,998,3,98,605,442,615,7,9, , ,6, ,3,7,6,3,2,7,7,5,2,2,4/10/2024,1,1,5,2,1,35,1,1,0.803925162,0.57882611664
7,9,7,11,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,4,1,1,8,1,2,2,11,4,5,2,1,1,1,14,9,1,1,1,2,2,1,2,55,16,98,1,8,5,13,13,3,5,8,1,8,8,8,8,1,1,1,98,1,998,1,1,2,2,2,2,2,2,4,98,9,998,3,1,123,371,122,2,2,1,1,4,4,1,1,6,3,3,7,7,5,3,3,4/10/2024,1,1,2,3,1,20,2,1,1.055235398,1.055235398
3,9,98,10,3,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,3,7,3,3,3,3,3,2,2,4,2,1,1,3,3,3,1,1,1,1,3,4,3,2,2,4,4,998,998,9,1,3,1,7,1,5,2,1,1,2,98,8,1,1,2,2,2,8,998,36,18,98,2,9,5,98,98,4,5,8,8,8,8,8,8,1,2,1,98,8,998,1,1,2,2,2,2,2,2,98,98,8,998,2,2,309,206,325,3,3,1,1,4,4,1,0,8,2,2,3,3,5,6,2,4/10/2024,1,1,15,2,1,21,1,1,0.671701232,0.6381161704
10,9,1,6,3,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,6,6,7,7,7,7,7,7,7,7,4,1,1,4,1,2,3,2,3,1,1,3,4,3,4,4,4,4,1,1,8,1,1,2,8,4,5,2,1,2,1,1,8,1,1,2,2,2,1,1,36,16,1,2,8,5,11,6,2,3,8,2,8,8,8,8,2,3,1,98,2,998,1,3,2,2,2,2,2,2,2,1,8,1,3,1,427,124,438,1,1,1,1,4,4,1,1,6,3,2,9, , ,6,2,4/10/2024,1,1,14,2,2,19,2,1,1.08106499,0.8107987425
9,9,9,1,3,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,7,7,7,7,7,7,7,7,7,7,4,2,1,4,4,4,1,1,1,1,1,3,3,3,4,4,4,5,998,998,6,2, ,3,5,2,3,2,1,2,1,98,5,4,2,2,1,2,1,998,25,16,98,2,6,3,98,98,1,5,8,6,8,8,8,8,2,3,1,98,8,998,1,3,2,2,2,2,2,2,98,98,5,998,3,1,88,184,87,7,9,1,1,4,4,1,0,6,3,2,9, , ,6,2,4/11/2024,1,1,14,2,2,24,3,1,1.01758695,0.1526380425
8,5,6,11,8,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,6,4,6,6,6,6,6,6,6,6,4,1,1,1,1,3,2,3,1,1,1,3,4,3,4,4,4,4,1,1,3,1,1,2,10,4,1,4,2,4,1,1,8,1,2,2,1,2,1,97,53,1,1,1,3,1,5,7,1,1,8,6,6,6,8,8,4,5,2,20,2,5,1,7,1,1,2,2,2,2,4,22,8,6,1,1,187,85,193,1,1,1,1,1,1,1,1,1,1,2,8,8,4,3,3,4/10/2024,1,1,4,2,4,1,2,1,0.844156645,0.844156645
2,9,2,11,3,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,7,2,2,7,2,7,2,2,7,3,2,1,2,3,3,2,1,1,1,1,2,4,3,3,3,3,4,1,2,10,1,2,1,6,3,6,3,1,2,1,1,8,1,2,1,2,2,1,2,63,15,98,2,10,6,17,16,1,2,8,1,8,8,8,8,2,3,1,98,8,998,5,1,2,2,2,2,2,2,1,98,8,998,2,1,537,131,574,2,2, ,1,5, ,2,2,5,2,2,2,2,5,7,3,4/10/2024,1,1,12,2,2,26,1,1,0.778383931,0.778383931
8,6,10,11,3,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,6,6,6,6,6,6,6,6,6,6,3,1,1,2,2,2,4,2,2,1,1,3,4,3,4,5,4,4,1,1,6,1,6,2,6,8,3,2,2,4,1,1,7,1,2,2,1,2,1,98,57,16,1,2,6,3,16,15,1,1,4,6,6,6,8,4,5,6,1,14,6,99,8,3,2,2,2,2,2,1,5,5,7,9,3,1,272,109,284,4,6,1,1,4,4,1,1,6,3,2,9, , ,7,3,4/10/2024,1,1,11,2,4,22,2,1,0.696128261,0.696128261
1,9,10,11,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,7,1,7,1,1,7,1,7,7,7,2,2,1,3,3,2,2,2,2,3,1,2,3,2,3,2,2,2,1,1,9,1,1,1,6,6,5,2,1,2,2,2,6,1,2,1,2,2,1,1,83,9,98,2,9,5,3,3,1,1,8,5,8,8,8,8,2,3,1,98,8,998,5,2,2,2,2,2,2,2,1,98,6,998,1,2,467,203,229,1,1,1,1,4,4,1,1,3,1,2,1,1,5,8,4,4/11/2024,1,1,10,2,2,19,1,1,0.750144003,0.750144003
